Family,Icon Name
General infrastructure,Hospital
General infrastructure,Hotel
General infrastructure,House
General infrastructure,Infrastructure
General infrastructure,Mobile clinic
General infrastructure,Mosque
General infrastructure,NGO office
General infrastructure,Oil facility
General infrastructure,Police station
General infrastructure,Power electricity
General infrastructure,School
General infrastructure,UN compound office
General infrastructure,University
Logistics,Airport
Logistics,Airport military
Logistics,Boat
Logistics,Bridge
Logistics,Bus
Logistics,Car
Logistics,Ferry
Logistics,Gas station
Logistics,Helicopter
Logistics,Helipad
Logistics,Port
Logistics,Road
Logistics,Ship
Logistics,Train
Logistics,Truck
Logistics,Tunnel
Logistics,UN vehicle
Telecommunications and technology,Cell tower
Telecommunications and technology,Computer
Telecommunications and technology,E-mail
Telecommunications and technology,Fax
Telecommunications and technology,Internet
Telecommunications and technology,Laptop
Telecommunications and technology,Mobile phone
Telecommunications and technology,Monitor
Telecommunications and technology,Radio
Telecommunications and technology,Remote support
Telecommunications and technology,Satellite dish
Telecommunications and technology,Smartphone
Telecommunications and technology,Walkie talkie
Telecommunications and technology,Work from home
UX UI,About
UX UI,Add
UX UI,Add document
UX UI,AI chat
UX UI,Alert
UX UI,Apps
UX UI,Blog
UX UI,Bookmark
UX UI,Chat
UX UI,Checked mail
UX UI,Copy
UX UI,CSV file
UX UI,Delete account
UX UI,DOCX file
UX UI,Down
UX UI,Download
UX UI,Edit
UX UI,Exit cancel
UX UI,Expand down
UX UI,Expand left
UX UI,Expand right
UX UI,Expand up
UX UI,Favourite
UX UI,Filter
UX UI,Folder
UX UI,Go
UX UI,Group
UX UI,Help
UX UI,Hidden
UX UI,Link
UX UI,Menu
UX UI,More options
UX UI,Next item
UX UI,Not secured
UX UI,Notification
UX UI,Out of platform
UX UI,Password
UX UI,Pause
UX UI,PDF file
UX UI,Previous item
UX UI,Print
UX UI,Remove
UX UI,Remove document
UX UI,Return
UX UI,Save
UX UI,Search
UX UI,Secured
UX UI,Security
UX UI,See
UX UI,Selected
UX UI,Settings
UX UI,Share
UX UI,Stop
UX UI,Time
UX UI,Trending
UX UI,Up
UX UI,Upload
UX UI,User
UX UI,Users
UX UI,Validate account
UX UI,Warning error
UX UI,XLSX file
UX UI,ZIP compressed
Health,Bacteria
Health,Case management
Health,COVID-19
Health,Doctor
Health,Handwashing
Health,Health worker
Health,Hospital bed
Health,Infected
Health,Infection control
Health,Laboratory
Health,Life saving
Health,Market
Health,Mask
Health,Not infected
Health,Physical distancing
Health,Respiratory
Health,Sanitizer
Health,Testing
Health,Ventilator
Health,Virus
Lockdown,Airport closed
Lockdown,Border closed
Lockdown,Bridge closed
Lockdown,Building closed
Lockdown,House lockdown
Lockdown,Location lockdown
Lockdown,Market closed
Lockdown,Port closed
Lockdown,Road closed
Lockdown,School closed
